Document Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Dominoes: An Interactive Exploratory Data Analysis Tool for Software Relationships;MSR techniques;tool development;;collaboration and coordination;;;;;
Evaluating SZZ Implementations: An Empirical Study on the Linux Kernel;software quality;defects;detection;;;;;;
Use and Misuse of Continuous Integration Features: An Empirical Study of Projects That (Mis)Use Travis CI;software maintenance;development operations;CI/CD;;;;;;
The Ghost Commit Problem When Identifying Fix-Inducing Changes: An Empirical Study of Apache Projects;software quality;defects;detection;;;;;;
Automated Commit Message Generation With Large Language Models: An Empirical Study and Beyond;development support and automation;generation;commit message generation;;;;;;
An Empirical Study of Refactoring Rhythms and Tactics in the Software Development Process;software maintenance;refactoring;;software maintenance;change patterns and evolution;;;;
An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples;software quality;vulnerabilities and security;patterns;;;;;;
Exploring the Use of Chatrooms by Developers: An Empirical Study on Slack and Gitter;collaboration and coordination;communication;topic modeling;;;;;;
Companies’ Participation in OSS Development–An Empirical Study of OpenStack;software maintenance;activity and productivity;;;;;;;
Leveraging Structure in Software Merge: An Empirical Study;software maintenance;code merge;;;;;;;
The Impact of Mislabeled Changes by SZZ on Just-in-Time Defect Prediction;software quality;defects;detection;;;;;;
Automating Dependency Updates in Practice: An Exploratory Study on GitHub Dependabot;software maintenance;bots;;;;;;;
Moving from Closed to Open Source: Observations from Six Transitioned Projects to GitHub;no MSR study;;;;;;;;
Bringing Open Source Communication and Development Together: A Cross-Platform Study on Gitter and GitHub;collaboration and coordination;organisational structures;;;;;;;
Operation-Based Refactoring-Aware Merging: An Empirical Evaluation;software maintenance;code merge;;MSR techniques;tool development;;;;
How Social and Communication Channels Shape and Challenge a Participatory Culture in Software Development;no MSR study;;;;;;;;
Code Review Knowledge Perception: Fusing Multi-Features for Salient-Class Location;software quality;code reviews;;;;;;;
ARENA: An Approach for the Automated Generation of Release Notes;development support and automation;generation;release note generation;;;;;;
T-Evos: A Large-Scale Longitudinal Study on CI Test Execution and Failure;software maintenance;integration;;software maintenance;development operations;CI/CD;software quality;tests;
The Secret Life of Software Vulnerabilities: A Large-Scale Empirical Study;software quality;vulnerabilities and security;patterns;;;;;;
When and Why Your Code Starts to Smell Bad (and Whether the Smells Go Away);software maintenance;technical debt;code smells;software maintenance;refactoring;;;;
Supporting Change Impact Analysis Using a Recommendation System: An Industrial Case Study in a Safety-Critical Context;software maintenance;change impact analysis;;development support and automation;recommendations;;;;
A Deep Dive into the Impact of COVID-19 on Software Development;software maintenance;activity and productivity;;;;;;;
The Scent of a Smell: An Extensive Comparison Between Textual and Structural Smells;software maintenance;technical debt;code smells;;;;;;
Can Clean New Code Reduce Technical Debt Density?;software maintenance;technical debt;;;;;;;
A Mixed-Method Approach to Recommend Corrections and Correct REST Antipatterns;software architecture and design;patterns and anti-patterns;;;;;;;
In Search of Socio-Technical Congruence: A Large-Scale Longitudinal Study;collaboration and coordination;organisational structures;;;;;;;
Automatic Commit Message Generation: A Critical Review and Directions for Future Work;development support and automation;generation;commit message generation;;;;;;
A Developer Centered Bug Prediction Model;software quality;defects;prediction;;;;;;
Toward a Smell-Aware Bug Prediction Model;software quality;defects;prediction;software maintenance;technical debt;code smells;;;
Self-Admitted Technical Debt in the Embedded Systems Industry: An Exploratory Case Study;software maintenance;technical debt;;;;;;;
Historical Spectrum Based Fault Localization;software quality;defects;localisation;;;;;;
RefDiff 2.0: A Multi-Language Refactoring Detection Tool;software maintenance;refactoring;;MSR techniques;tool development;;;;
A Multi-Study Investigation into Dead Code;software maintenance;technical debt;code smells;;;;;;
Graph Based Mining of Code Change Patterns From Version Control Commits;software maintenance;change patterns and evolution;;;;;;;
Learning the Relation Between Code Features and Code Transforms With Structured Prediction;software maintenance;code and change prediction;;software quality;defects;fixes;;;
FeatRacer: Locating Features Through Assisted Traceability;software architecture and design;features and variants;;MSR techniques;tool development;;;;
Supporting Developers in Addressing Human-Centric Issues in Mobile Apps;collaboration and coordination;human factors and values;;software usage;;;;;
A3: Assisting Android API Migrations Using Code Examples;software maintenance;change patterns and evolution;;;;;;;
Just-In-Time Defect Identification and Localization: A Two-Phase Framework;software quality;defects;localisation;;;;;;
Hybrid Program Dependence Approximation for Effective Dynamic Impact Prediction;software maintenance;change impact analysis;;;;;;;